en_wiki,requests,instance_of,logvar
Silver_Banshee,25265,fictional character,1.2311647295601171
Saraswati,25231,"water deity,Devi",0.3090378258249952
Leeroy_Jenkins,25221,fictional character,0.1605132257662865
Sauron,25215,"Maiar,villain,literary character,film character",0.10661301689494128
Albus_Dumbledore,25205,wizard in the Harry Potter universe,0.10741104194262535
Adonis,25163,Greek deity,0.12198028986930715
Valentina_Vostok,25157,fictional character,0.5286516948659123
Harry_Potter_(character),25046,wizard in the Harry Potter universe,0.2202864190095516
Agamemnon,24945,mythical character,0.16136923444344048
Moloch,24936,deity,0.1281166920899124
HAL_9000,24757,fictional character,0.25829076038730514
Thanatos,24749,"Greek deity,death deity",0.1212032199143035
Tartarus,24736,Greek primordial deity,0.12239016517825818
Janus,24684,deity,0.15236379146968335
Pierre_Bezukhov,24622,fictional character,0.7122304478788463
Heat_Wave_(comics),24612,fictional character,0.1251547771110113
John_Henry_(folklore),24584,fictional human,0.44888071071185504
Ravana,24545,deity,0.17495559799925386
Batwing_(DC_Comics),24498,fictional character,0.20894960858889455
Lernaean_Hydra,24465,mythological serpent,0.16158654709968467
Mike_Ehrmantraut,24437,Breaking Bad character,0.23195634086937672
Don_Draper,24429,fictional human,0.1347762600811676
Red_Hood,24403,"fictional character,supervillain",0.12057972369206246
Atticus_Finch,24403,fictional human,0.5442945366100664
Pandora,24399,mythical character,0.18451078207719915
Queen_of_Sheba,24386,human biblical character,0.12676420972382785
Jesse_Stone_(character),24379,fictional human,0.5724743058132192
Poe_Dameron,24352,fictional human,0.16303889455665815
Pippi_Longstocking,24311,fictional human,0.37580428098915114
Pan_(god),24289,deity,0.18532023457893806
Goliath,24133,"giant,human biblical character",0.09149716524698602
Zoroaster,23998,conceptual character,0.1084542259719645
Derek_Shepherd,23987,fictional human,0.19165755183199476
Minerva,23937,deity,0.12227070213924753
Humpty_Dumpty,23910,fictional character,0.18205317438843444
Killer_Croc,23825,"fictional character,supervillain",0.1078328643370635
Hellboy,23772,fictional character,0.15211548826050753
Narcissus_(mythology),23702,mythical character,0.1659838656078127
Vito_Corleone,23642,fictional human,0.12921551494834935
Hal_Jordan,23613,fictional human,0.12241023031767313
Pegasus,23607,"mythical creature,winged horse",0.1570046932685978
Moon_Knight,23597,"fictional character,superhero",0.23478864268174926
Guanyin,23584,deity,0.2004367481225359
Amun,23254,mythical character,0.1435362509730155
Tim_Drake,23186,fictional character,0.15225186185192457
Yggdrasil,23172,fictional tree,0.10478478553784325
Patsy_Walker,23135,"fictional human,mutate,superhero,comic character",0.1414988192438959
Lara_Croft,23095,fictional human,0.12475506108556911
King_Kong,23043,fictional character,0.19223982277373425
Shere_Khan,23037,fictional character,0.4441301086454042
Jason_Voorhees,23025,fictional character,0.13195994494249544
Natasha_Rostova,23023,fictional character,0.5478227651160109
Edward_Mordake,22985,fictional character,0.19367999633656058
Professor_Moriarty,22922,"fictional human,antagonist",0.09817106869335876
Fantomex,22911,"fictional character,mutate,superhero",0.46397664969421953
Ms._Marvel_(Kamala_Khan),22879,"fictional character,superhero",0.1280468106418457
Captain_Phasma,22757,"fictional human,film character,antagonist",0.23902267904476004
Victor_Frankenstein,22687,fictional human,0.6184302524919486
Yoda,22606,character from Star Wars,0.1542686092498717
Samael,22590,Angels in Judaism,0.11150589963772677
Freddy_Krueger,22446,"fictional human,horror film character",0.13904138609897243
Asmodeus,22419,demon,0.10476748709475195
Conan_the_Barbarian,22386,fictional human,0.12438656705894477
Durga,22370,"deity,Devi",0.16050184766304254
Keyser_S%C3%B6ze,22369,fictional human,0.3682125174299318
Pinocchio,22309,fictional character,0.10606166661273121
Avalokite%C5%9Bvara,22262,deity,0.5339581863092956
M_(James_Bond),22208,"fictional human,character from James Bond series",0.10451978031066105
Bastet,22081,"goddess,mythical character",0.16425885926676698
Boba_Fett,21958,fictional character,0.16760045857488554
Hector,21958,mythical character,0.1269924210213607
Edwin_Jarvis,21932,fictional character,0.1264816855940685
Hercule_Poirot,21911,fictional human,0.1418309597511804
J%C3%B6rmungandr,21894,"mythological serpent,Norse mythical animal",0.1195478032653411
Slipknot_(comics),21886,fictional character,0.14193053575930156
Finn_(Star_Wars),21696,fictional human,0.18087125431017298
Nike_(mythology),21678,goddess,0.23234778449152774
Loki_(comics),21671,"supervillain,Asgardian,fictional character,antihero",0.1566755128868037
Chandler_Bing,21536,fictional character,0.25049640851075805
Black_Widow_(Natasha_Romanova),21508,"fictional character,superhero",0.11129016520999804
Miss_Havisham,21493,fictional human,0.44315122051338524
Chronos,21394,"mythical character,Greek primordial deity",0.15179106983823035
Styx,21384,"Potamoi,water deity,goddess,Okeanid",0.15848193315780199
Ophelia,21367,Characters in Hamlet,0.1899449029697612
Jonah_Hex,21334,fictional character,0.2532278710089294
Zatanna,21284,fictional human,0.11400303856159856
Two-Face,21271,"comic character,supervillain,film character",0.10460739418253708
Judge_Dredd,21193,fictional character,0.1301315561345839
Lakshmi,21190,Devi,0.11897421171423901
Snake_(zodiac),20997,mythological serpent,0.754158119478942
Abaddon,20994,"Angels in Judaism,angel in Christianity,angel",0.10510100410905177
Hello_Kitty,20983,"fictional character,fictional cats and other felines",0.09674647121156603
Leatherface,20952,"fictional human,horror film character",0.20751212154673496
Spider-Man_(Miles_Morales),20940,"fictional character,mutate,superhero",0.1802481962820333
Silver_Surfer,20933,"supervillain,superhero,comic character",0.14822157821614318
Adam_Warlock,20898,"fictional human,superhero",0.16830864072489174
The_Doctor_(Doctor_Who),20888,Time Lord,0.16550764761176406
Morgan_le_Fay,20873,fairy,0.12671993052897748
Aeneas,20865,"fictional human,mythological Greek character",0.17881954975617065
Batgirl,20843,fictional character,0.12742923973660217
Daedalus,20840,mythical character,0.18931256226729673
Apep,20815,"Ancient Egyptian deity,mythical character",0.34051539960266675
Merlyn_(DC_Comics),20802,fictional character,0.19278892241402765
Methuselah,20760,human biblical character,0.19184479419979278
Nuke_(Marvel_Comics),20746,"mutate,supervillain",0.13405056749062091
Beast_Boy,20718,fictional character,0.17399557586243564
Behemoth,20702,"mythical creature,biblical character",0.11278894279503743
Typhon,20692,Giants,0.15472067856538232
Kaa,20604,"fictional animal character,fictional character",0.40467809979707253
Michelle_Tanner,20601,fictional human,1.0087574857793649
Power_Girl,20592,"fictional character,Kryptonian,superhero",0.12250430575738572
Iceman_(comics),20555,"mutant,superhero",0.15304753054429335
Sita,20507,"mythical character,Devi",0.22824576569234065
Midas,20475,mythical character,0.200581584901173
Count_Dracula,20451,vampire,0.12109087371314485
Hermione_Granger,20409,"wizard in the Harry Potter universe,mudblood",0.11426179745813855
Ms._Marvel,20395,fictional character,0.13655536076462982
Michael_Scott_(The_Office),20382,fictional character,0.22956898877089166
Nyx,20337,"Greek deity,goddess",0.15813871838322666
Sansa_Stark,20313,"Game of Thrones character,A Song of Ice and Fire character,fictional human",0.13366251925792136
G.I._Joe,20309,fictional character,0.21533514092000486
Santa_Muerte,20270,angel in Christianity,0.395899093864678
Garuda,20256,fictional bird,0.06839869463729192
Riddler,20244,"fictional character,supervillain",0.11624720647891881
She-Hulk,20224,"fictional character,mutate,superhero",0.15821414078425358
Imperator_Furiosa,20202,fictional human,0.3718189891889067
Gregory_House,20197,fictional character,0.12671659766891896
Rhea_(mythology),20187,"Titan,goddess",0.18750496829835955
Ishmael,20177,human biblical character,0.13833967026369298
Antigone,20162,mythical character,0.2609286518936476
Damocles,20162,fictional character,0.1785079739922716
Betty_Boop,20091,fictional character,0.22241128522365655
Maxwell_Lord,20087,fictional character,0.31585485029759836
Krang,20053,fictional character,0.6576251635929161
Jason,20027,mythical character,0.19407623913312774
Azrael,20016,"Angels in Judaism,Islamic view of angels",0.11046021827228428
Circe,20007,mythical character,0.19039957878804153
Mowgli,19937,fictional human,0.356681625350388
Nick_Fury,19935,"fictional character,mutate,superhero",0.14599912621268216
Gandalf,19921,Istari,0.1384414683199468
Namor,19903,"mutant,superhero",0.1523813672297328
Flash_Thompson,19839,"fictional character,superhero",0.1018260549177969
Sonic_the_Hedgehog_(character),19813,"fictional character,fictional hedgehog",0.17037086679807253
Ravager_(comics),19777,"fictional character,supervillain",1.2066102048227034
Cristina_Yang,19731,fictional human,0.267305063633327
Indra,19724,water deity,0.0849064228512895
Zorro,19674,"fictional human,protagonist",0.16073896987410938
Miranda_Sings,19666,fictional human,0.1636269425769921
Nemesis_(mythology),19656,Okeanid,0.13600815361548863
Blade_(comics),19655,"superhero,fictional human,comic character",0.18473988294463328
Mercury_(mythology),19580,"deity,mythical character",0.15746731822556823
Arya_Stark,19554,"A Song of Ice and Fire character,Game of Thrones character,fictional human",0.17213530012839912
Rorschach_(comics),19539,fictional human,0.12889733281067006
Harlequin,19515,fictional human,0.1399129933929416
Gollum,19511,Hobbit,0.1428274650010005
Nyssa_Raatko,19508,fictional character,0.20759859469823674
Elsa_(Disney),19501,fictional human,0.12096997610050522
